time,b0,b1,b2,b3,b4,b5,b6,b7
6078,D5,D1,DF,88,7E,64,08,13
6088,C5,D2,DF,88,7E,64,1A,13
6097,7B,D3,DF,08,7E,64,2C,13
6108,0F,D4,DF,08,7E,64,38,13
6117,C2,D5,DF,C8,7D,64,3C,13
6127,15,D6,DF,88,7D,64,4A,13
6137,BB,D7,DF,48,7D,64,58,13
6148,DE,D8,DF,48,7D,64,64,13
6157,9B,D9,DF,C8,7C,64,74,13
6167,A8,DA,DF,C8,7C,64,7E,13
6177,53,DB,DF,88,7C,64,8A,13
6188,67,DC,BF,88,7C,64,96,13
6197,7E,DD,BF,08,7C,64,9E,13
6207,5C,DE,BF,08,7C,64,86,13
6217,32,DF,BF,88,7C,64,6A,13
6228,EE,D0,BF,88,7C,64,74,13
6238,9F,D1,BF,88,7C,64,80,13
6247,30,D2,BF,88,7C,64,78,13
6257,1E,D3,BF,C8,7C,64,6A,13
6268,E9,D4,BF,C8,7C,64,54,13
6278,E0,D5,BF,48,7D,64,4A,13
6288,98,D6,BF,48,7D,64,46,13
6298,1F,D7,BF,48,7D,64,3C,13
6308,05,D8,BF,48,7D,64,38,13
6318,CC,D9,BF,88,7D,64,2A,13
6328,FF,DA,BF,88,7D,64,20,13
6338,17,DB,9F,08,7E,64,22,13
6347,31,DC,9F,08,7E,64,26,13
6358,C2,DD,9F,C8,7D,64,1E,13
6368,13,DE,9F,C8,7D,64,24,13
6378,FF,DF,9F,08,7E,64,36,13
6388,A2,D0,9F,C8,7D,64,48,13
6398,BE,D1,9F,48,7D,64,4A,13
6408,FF,D2,9F,08,7D,64,52,13
6417,27,D3,9F,08,7D,64,66,13
6427,30,D4,9F,88,7C,64,6C,13
6437,36,D5,9F,88,7C,64,66,13
6447,57,D6,9F,C8,7C,64,6C,13
6457,BE,D7,9F,C8,7C,64,7E,13
6467,B9,D8,9F,48,7C,64,84,13
6477,F3,D9,9F,48,7C,64,80,13
6488,88,DA,9F,48,7C,64,86,13
6497,35,DB,9F,48,7C,64,8E,13
6507,32,DC,9F,08,7C,64,88,13
6517,62,DD,9F,08,7C,64,70,13
6528,4A,DE,9F,88,7C,64,60,13
6537,A6,DF,9F,88,7C,64,5A,13
6548,A7,D0,9F,C8,7C,64,54,13
