b0,b1,b2,b3,b4,b5,b6,b7
83,77,00,00,40,3F,00,00
83,79,31,01,0F,00,7A,3F
83,7A,31,01,0C,00,00,14
83,7C,00,00,0C,00,20,00
83,7F,43,01,0C,00,00,14
83,70,43,01,FE,F7,07,00
83,71,00,00,FF,00,00,02
83,72,00,00,FF,00,00,02
83,73,BC,01,FF,00,00,00
83,74,BC,01,FF,00,00,00
83,75,00,00,2D,00,7E,90
83,77,39,01,F0,03,00,00
83,78,00,00,00,82,0C,40
83,79,00,00,F8,10,00,00
83,7C,43,01,00,00,00,00
83,7D,43,01,F0,03,00,00
83,70,BC,01,00,01,FE,3F
83,71,BC,01,00,00,00,20
83,72,00,00,00,20,00,5A
83,74,00,01,00,00,00,00
83,75,00,01,80,03,00,00
83,78,00,00,FD,00,00,00
83,7A,43,01,00,01,FE,3F
83,7B,43,01,00,00,00,00
83,7D,00,00,FE,F7,07,00
83,7E,BC,01,40,3F,00,00
83,7F,BC,01,00,00,00,00
83,70,00,00,0F,00,7A,3F
83,72,00,01,03,10,00,98
83,73,00,01,FE,00,03,00
83,75,00,00,00,04,00,00
83,76,00,00,0C,00,00,14
83,77,00,00,FE,F7,07,00
83,78,01,01,40,3F,00,00
83,79,01,01,00,00,00,00
83,7A,00,00,46,46,39,4A
83,7B,00,00,FF,00,00,00
83,7C,FE,01,FF,00,00,02
83,7D,FE,01,FF,00,00,02
83,7E,00,00,FF,00,00,00
83,72,00,00,00,82,0C,40
83,74,00,00,F0,03,00,00
83,75,42,01,00,00,00,00
83,76,42,01,00,00,00,00
83,77,00,00,0C,00,20,00
83,79,BD,01,00,20,00,59
83,7A,BD,01,F8,10,00,00
83,7C,00,00,00,82,0C,40
83,7D,00,01,00,00,00,00
83,7E,00,01,00,00,00,00
83,72,00,00,00,00,00,20
83,73,C1,01,00,20,00,5A
83,74,C1,01,00,00,00,00
83,77,3E,01,0F,00,7A,3F
83,78,3E,01,80,0F,00,7A
83,79,00,00,03,10,00,98
83,7A,00,00,FE,00,03,00
83,7B,38,01,00,00,00,00
83,7C,38,01,00,00,00,20
83,7E,00,00,FE,F7,07,00
83,71,83,01,31,37,31,37
83,72,83,01,0C,00,00,14
83,74,00,00,FF,00,00,02
08,F0,00,00,04,00,00,00
08,F1,00,00,00,00,00,00
08,F2,00,00,00,00,00,00
08,F3,00,00,0C,00,00,14
08,F4,00,00,11,00,04,01
88,75,00,00,00,00,00,80
88,76,00,00,80,0F,00,7A
88,7A,00,00,0F,00,7A,3F
8B,71,00,00,FF,00,00,00
8B,72,82,01,2D,00,7E,90
8B,73,00,00,FE,FB,EF,9F
8B,74,00,00,FF,00,00,00
8B,75,7D,01,00,00,00,00
8B,76,7D,01,00,00,00,00
8B,79,38,01,00,00,00,00
8B,7D,00,01,00,20,00,59
8B,7F,00,00,82,00,00,00
8B,71,FF,01,00,00,E0,FF
8B,72,FF,01,00,00,00,AF
8B,74,00,00,FE,00,00,04
8B,75,56,01,0C,00,00,14
8B,78,00,00,00,00,00,AF
8B,79,00,00,01,01,00,00
8B,7A,00,00,0C,00,00,14
8B,7B,82,01,00,00,E0,FF
8B,7C,82,01,FE,00,03,00
8B,7D,00,00,00,00,E0,FF
8B,7E,00,00,0E,00,00,00
08,F0,00,00,05,00,00,00
FA,D5,5F,7F,FD,F5,D7,1F
FF,D5,1F,40,7F,00,00,00
80,A6,20,78,FD,81,07,1E
51,D6,1F,00,78,64,00,00
83,A7,60,77,FD,75,D7,1D
E6,D7,1F,40,7E,64,00,00
08,F3,00,00,00,00,00,00
84,A8,5E,77,FD,75,D7,1D
50,D8,DF,87,7A,00,00,00
08,F4,00,00,00,00,00,00
39,D9,1F,CA,79,00,00,00
54,A9,5E,77,FD,75,D7,1D
07,6A,5E,77,FD,75,D7,1D
5B,DA,1F,8A,79,00,00,00
EC,DB,1F,0A,79,00,00,00
69,6B,5E,77,FD,75,D7,1D
88,77,00,00,30,6F,7E,FE
18,DC,1F,CA,78,00,00,00
