frame,time,id,len,b0,b1,b2,b3,b4,b5,b6,b7
67,29032,0x0AF,4,83,77,00,00,80,00,00,FE
67,29032,0x0AF,4,83,77,00,00,80,00,00,FE
68,29033,0x0AD,8,42,EB,BF,FF,00,14,00,00
68,29033,0x0AD,8,42,EB,BF,FF,00,14,00,00
69,29033,0x0AE,8,40,0B,00,00,2B,00,00,02
69,29033,0x0AE,8,40,0B,00,00,2B,00,00,02
70,29037,0x0A8,8,B0,EB,DF,BF,FF,00,00,00
70,29037,0x0A8,8,B0,EB,DF,BF,FF,00,00,00
71,29037,0x0A7,8,42,EB,BF,FF,FE,FB,EF,9F
71,29037,0x0A7,8,42,EB,BF,FF,FE,FB,EF,9F
72,29042,0x0AF,4,83,78,00,00,FE,00,0E,00
72,29042,0x0AF,4,83,78,00,00,FE,00,0E,00
73,29043,0x0AD,8,2F,EC,BF,FF,00,14,00,00
73,29043,0x0AD,8,2F,EC,BF,FF,00,14,00,00
74,29043,0x0AE,8,CA,0C,00,00,2C,00,00,02
74,29043,0x0AE,8,CA,0C,00,00,2C,00,00,02
75,29047,0x0A7,8,FD,EC,BF,FF,FE,FB,EF,9F
75,29047,0x0A7,8,FD,EC,BF,FF,FE,FB,EF,9F
76,29047,0x0A8,8,AE,EC,DF,BF,FF,00,00,00
76,29047,0x0A8,8,AE,EC,DF,BF,FF,00,00,00
77,29053,0x0AD,8,5E,ED,BF,FF,00,14,00,00
77,29053,0x0AD,8,5E,ED,BF,FF,00,14,00,00
78,29053,0x0AE,8,04,0D,00,00,2D,00,00,02
78,29053,0x0AE,8,04,0D,00,00,2D,00,00,02
79,29053,0x0AF,4,83,79,41,01,2D,00,00,02
79,29053,0x0AF,4,83,79,41,01,2D,00,00,02
80,29057,0x0A8,8,BD,ED,DF,BF,FF,00,00,00
80,29057,0x0A8,8,BD,ED,DF,BF,FF,00,00,00
81,29057,0x0A7,8,0D,ED,BF,FF,FE,FB,EF,9F
81,29057,0x0A7,8,0D,ED,BF,FF,FE,FB,EF,9F
82,29063,0x0AD,8,84,EE,BF,FF,00,14,00,00
82,29063,0x0AD,8,84,EE,BF,FF,00,14,00,00
83,29063,0x0AE,8,E4,0E,00,00,2E,00,00,02
83,29063,0x0AE,8,E4,0E,00,00,2E,00,00,02
84,29063,0x0AF,4,83,7A,41,01,2E,00,00,02
84,29063,0x0AF,4,83,7A,41,01,2E,00,00,02
85,29067,0x0A7,8,86,EE,BF,FF,FE,FB,EF,9F
85,29067,0x0A7,8,86,EE,BF,FF,FE,FB,EF,9F
86,29067,0x0A8,8,0F,EE,DF,BF,FF,00,00,00
86,29067,0x0A8,8,0F,EE,DF,BF,FF,00,00,00
87,29073,0x0AD,8,D5,EF,BF,FF,00,14,00,00
87,29073,0x0AD,8,D5,EF,BF,FF,00,14,00,00
88,29073,0x0AE,8,AB,0F,00,00,2F,00,00,02
88,29073,0x0AE,8,AB,0F,00,00,2F,00,00,02
89,29073,0x0AF,4,83,7B,00,00,2F,00,00,02
89,29073,0x0AF,4,83,7B,00,00,2F,00,00,02
90,29077,0x0A8,8,80,EF,DF,BF,FF,00,00,00
90,29077,0x0A8,8,80,EF,DF,BF,FF,00,00,00
91,29077,0x0A7,8,58,EF,BF,FF,FE,FB,EF,9F
91,29077,0x0A7,8,58,EF,BF,FF,FE,FB,EF,9F
92,29083,0x0AD,8,48,E0,BF,FF,00,14,00,00
92,29083,0x0AD,8,48,E0,BF,FF,00,14,00,00
93,29083,0x0AE,8,0C,00,00,00,30,00,00,02
93,29083,0x0AE,8,0C,00,00,00,30,00,00,02
94,29083,0x0AF,4,83,7C,BE,01,00,01,FE,3F
94,29083,0x0AF,4,83,7C,BE,01,00,01,FE,3F
95,29087,0x0A7,8,91,E0,BF,FF,FE,FB,EF,9F
95,29087,0x0A7,8,91,E0,BF,FF,FE,FB,EF,9F
96,29087,0x0A8,8,E8,E0,DF,BF,FF,00,00,00
96,29087,0x0A8,8,E8,E0,DF,BF,FF,00,00,00
97,29093,0x0AD,8,86,E1,BF,FF,00,14,00,00
97,29093,0x0AD,8,86,E1,BF,FF,00,14,00,00
98,29093,0x0AE,8,4E,01,00,00,31,00,00,02
98,29093,0x0AE,8,4E,01,00,00,31,00,00,02
99,29094,0x0AF,4,83,7D,BE,01,31,00,00,02
99,29094,0x0AF,4,83,7D,BE,01,31,00,00,02
100,29097,0x0A7,8,19,E1,BF,FF,FE,FB,EF,9F
100,29097,0x0A7,8,19,E1,BF,FF,FE,FB,EF,9F
101,29097,0x0A8,8,92,E1,DF,BF,FF,00,00,00
101,29097,0x0A8,8,92,E1,DF,BF,FF,00,00,00
102,29103,0x0AD,8,62,E2,BF,FF,00,14,00,00
102,29103,0x0AD,8,62,E2,BF,FF,00,14,00,00
103,29103,0x0AE,8,97,02,00,00,32,00,00,02
103,29103,0x0AE,8,97,02,00,00,32,00,00,02
104,29114,0x0AF,4,83,7E,00,00,04,00,00,00
104,29114,0x0AF,4,83,7E,00,00,04,00,00,00
105,29114,0x0AF,4,83,7F,00,00,33,00,00,02
105,29114,0x0AF,4,83,7F,00,00,33,00,00,02
106,29117,0x0A8,8,91,E3,DF,BF,FF,00,00,00
106,29117,0x0A8,8,91,E3,DF,BF,FF,00,00,00
107,29117,0x0A7,8,EC,E3,BF,FF,FE,FB,EF,9F
107,29117,0x0A7,8,EC,E3,BF,FF,FE,FB,EF,9F
108,29123,0x0AD,8,41,E4,BF,FF,00,14,00,00
108,29123,0x0AD,8,41,E4,BF,FF,00,14,00,00
109,29123,0x0AE,8,23,04,00,00,34,00,00,02
109,29123,0x0AE,8,23,04,00,00,34,00,00,02
110,29125,0x0AF,4,83,70,37,01,00,00,00,C0
