time,b0,b1,b2,b3,b4,b5,b6,b7
36011,AE,EC,DF,BF,FF,0,0,0
36020,BD,ED,DF,BF,FF,0,0,0
36030,0F,EE,DF,BF,FF,0,0,0
36040,80,EF,DF,BF,FF,0,0,0
36050,E8,E0,DF,BF,FF,0,0,0
36060,92,E1,DF,BF,FF,0,0,0
36070,7E,E2,DF,BF,FF,0,0,0
36080,91,E3,DF,BF,FF,0,0,0
36090,3D,E4,DF,BF,FF,0,0,0
36100,57,E5,DF,BF,FF,0,0,0
36120,72,E7,DF,BF,FF,0,0,0
36130,50,E8,DF,BF,FF,0,0,0
36140,22,E9,DF,BF,FF,0,0,0
36150,7D,EA,DF,BF,FF,0,0,0
36160,B0,EB,DF,BF,FF,0,0,0
36170,AE,EC,DF,BF,FF,0,0,0
36180,BD,ED,DF,BF,FF,0,0,0
36190,0F,EE,DF,BF,FF,0,0,0
36200,80,EF,DF,BF,FF,0,0,0
36211,E8,E0,DF,BF,FF,0,0,0
36220,92,E1,DF,BF,FF,0,0,0
36230,7E,E2,DF,BF,FF,0,0,0
36240,91,E3,DF,BF,FF,0,0,0
36251,3D,E4,DF,BF,FF,0,0,0
36260,57,E5,DF,BF,FF,0,0,0
36270,67,E6,DF,BF,FF,0,0,0
36280,72,E7,DF,BF,FF,0,0,0
36290,50,E8,DF,BF,FF,0,0,0
36301,22,E9,DF,BF,FF,0,0,0
36310,7D,EA,DF,BF,FF,0,0,0
36320,B0,EB,DF,BF,FF,0,0,0
36330,AE,EC,DF,BF,FF,0,0,0
36340,BD,ED,DF,BF,FF,0,0,0
36350,0F,EE,DF,BF,FF,0,0,0
36360,80,EF,DF,BF,FF,0,0,0
36370,E8,E0,DF,BF,FF,0,0,0
36380,92,E1,DF,BF,FF,0,0,0
36390,7E,E2,DF,BF,FF,0,0,0
36400,91,E3,DF,BF,FF,0,0,0
36411,3D,E4,DF,BF,FF,0,0,0
36420,57,E5,DF,BF,FF,0,0,0
36430,67,E6,DF,BF,FF,0,0,0
36440,72,E7,DF,BF,FF,0,0,0
36451,50,E8,DF,BF,FF,0,0,0
36460,22,E9,DF,BF,FF,0,0,0
36470,7D,EA,DF,BF,FF,0,0,0
36480,B0,EB,DF,BF,FF,0,0,0
36490,AE,EC,DF,BF,FF,0,0,0
36500,BD,ED,DF,BF,FF,0,0,0
36520,80,EF,DF,BF,FF,0,0,0
36530,E8,E0,DF,BF,FF,0,0,0
36541,92,E1,DF,BF,FF,0,0,0
36550,7E,E2,DF,BF,FF,0,0,0
36560,91,E3,DF,BF,FF,0,0,0
36571,3D,E4,DF,BF,FF,0,0,0
36580,57,E5,DF,BF,FF,0,0,0
36590,67,E6,DF,BF,FF,0,0,0
36600,72,E7,DF,BF,FF,0,0,0
36611,50,E8,DF,BF,FF,0,0,0
36620,22,E9,DF,BF,FF,0,0,0
36630,7D,EA,DF,BF,FF,0,0,0
36640,B0,EB,DF,BF,FF,0,0,0
36650,AE,EC,DF,BF,FF,0,0,0
36660,BD,ED,DF,BF,FF,0,0,0
36670,0F,EE,DF,BF,FF,0,0,0
36680,80,EF,DF,BF,FF,0,0,0
36690,E8,E0,DF,BF,FF,0,0,0
36700,92,E1,DF,BF,FF,0,0,0
36710,7E,E2,DF,BF,FF,0,0,0
36720,91,E3,DF,BF,FF,0,0,0
36730,3D,E4,DF,BF,FF,0,0,0
36740,57,E5,DF,BF,FF,0,0,0
36750,67,E6,DF,BF,FF,0,0,0
36760,72,E7,DF,BF,FF,0,0,0
36770,50,E8,DF,BF,FF,0,0,0
36780,22,E9,DF,BF,FF,0,0,0
36790,7D,EA,DF,BF,FF,0,0,0
36800,B0,EB,DF,BF,FF,0,0,0
36811,AE,EC,DF,BF,FF,0,0,0
36820,BD,ED,DF,BF,FF,0,0,0
36830,0F,EE,DF,BF,FF,0,0,0
36840,80,EF,DF,BF,FF,0,0,0
36850,E8,E0,DF,BF,FF,0,0,0
36860,92,E1,DF,BF,FF,0,0,0
36870,7E,E2,DF,BF,FF,0,0,0
36880,91,E3,DF,BF,FF,0,0,0
36890,3D,E4,DF,BF,FF,0,0,0
36902,3D,E4,DF,BF,FF,0,0,0
36910,67,E6,DF,BF,FF,0,0,0
36920,72,E7,DF,BF,FF,0,0,0
36930,50,E8,DF,BF,FF,0,0,0
36941,22,E9,DF,BF,FF,0,0,0
36950,7D,EA,DF,BF,FF,0,0,0
36960,B0,EB,DF,BF,FF,0,0,0
36970,AE,EC,DF,BF,FF,0,0,0
