time,actual,predicted,match,counter,b4,b5,b6,b7,rpm,stat,dyn
1032718,192,30,False,0,148,100,4,65,4161.0,227,85
1032818,192,30,False,10,144,100,180,65,4205.0,245,67
1032828,192,30,False,11,144,100,96,66,4248.0,247,68
1032838,192,30,False,12,144,100,90,66,4246.5,255,68
1032848,192,30,False,13,144,100,174,65,4203.5,255,69
1032858,192,30,False,14,144,100,30,65,4167.5,254,70
1032868,192,30,False,15,145,100,108,64,4123.0,253,71
1032878,30,192,False,0,145,100,246,63,4093.5,253,72
1032888,30,192,False,1,145,100,168,63,4074.0,251,73
1032898,30,192,False,2,145,100,138,63,4066.5,251,74
1032908,30,192,False,3,145,100,102,63,4057.5,251,74
1032917,30,192,False,4,145,100,84,63,4053.0,250,74
1032928,30,192,False,5,146,100,86,63,4053.5,251,75
1032938,30,192,False,6,146,100,76,63,4051.0,247,75
1032947,30,192,False,7,146,100,100,63,4057.0,248,75
1032958,30,192,False,8,146,100,140,63,4067.0,248,75
1032969,30,192,False,9,146,100,174,63,4075.5,248,75
1032977,30,192,False,10,146,100,172,63,4075.0,248,75
1032988,30,192,False,11,146,100,174,63,4075.5,250,76
1032998,30,192,False,12,146,100,168,63,4074.0,250,76
1033008,30,192,False,13,146,100,136,63,4066.0,250,76
1033018,30,192,False,14,146,100,110,63,4059.5,250,76
1033028,30,192,False,15,146,100,110,63,4059.5,250,76
1033038,30,192,False,0,146,100,102,63,4057.5,248,76
1033048,30,192,False,1,146,100,100,63,4057.0,248,76
1033058,30,192,False,2,146,100,114,63,4060.5,248,76
1033068,30,192,False,3,146,100,118,63,4061.5,248,76
1033078,30,192,False,4,146,100,94,63,4055.5,248,76
1033088,30,192,False,5,146,100,130,63,4064.5,247,76
1033098,30,192,False,6,146,100,154,63,4070.5,247,76
1033107,30,192,False,7,146,100,154,63,4070.5,247,76
1033118,30,192,False,8,146,100,164,63,4073.0,247,76
1033128,30,192,False,9,146,100,172,63,4075.0,247,76
1033138,30,192,False,10,146,100,150,63,4069.5,248,76
1033148,30,192,False,11,146,100,150,63,4069.5,248,76
1033158,30,192,False,12,146,100,154,63,4070.5,248,76
1033168,30,192,False,13,146,100,128,63,4064.0,248,76
1033178,30,192,False,14,146,100,124,63,4063.0,248,76
1033188,30,192,False,15,146,100,128,63,4064.0,247,76
1033198,30,192,False,0,146,100,106,63,4058.5,247,76
1033208,30,192,False,1,146,100,144,63,4068.0,247,76
1033218,30,192,False,2,146,100,166,63,4073.5,247,76
1033228,30,192,False,3,146,100,164,63,4073.0,247,75
1033237,30,192,False,4,146,100,182,63,4077.5,248,76
1033248,30,192,False,5,146,100,200,63,4082.0,248,76
1033258,30,192,False,6,146,100,176,63,4076.0,248,76
1033267,30,192,False,7,146,100,190,63,4079.5,248,76
1033278,30,192,False,8,146,100,204,63,4083.0,248,77
1033288,30,192,False,9,146,100,174,63,4075.5,249,78
1033298,30,192,False,10,147,100,180,63,4077.0,249,79
1033308,30,192,False,11,147,100,180,63,4077.0,249,81
1033318,30,192,False,12,148,100,150,63,4069.5,249,83
1033407,192,30,False,5,148,100,16,64,4100.0,167,86
1033418,192,30,False,6,148,100,52,64,4109.0,167,86
1033428,192,30,False,7,148,100,118,64,4125.5,167,86
1033438,192,30,False,8,147,100,156,64,4135.0,167,81
1033448,192,30,False,9,147,100,234,64,4154.5,167,81
1033458,192,30,False,10,147,100,50,65,4172.5,168,80
1033470,192,30,False,11,147,100,94,65,4183.5,169,80
1033478,192,30,False,12,147,100,74,65,4178.5,169,81
1033488,192,30,False,13,147,100,12,66,4227.0,170,81
1033498,192,30,False,14,147,100,28,67,4295.0,173,82
1033508,192,30,False,15,147,100,194,65,4208.5,179,82
1033517,192,30,False,0,147,100,64,64,4112.0,174,80
1033528,192,30,False,1,147,100,6,65,4161.5,167,79
1033538,192,30,False,2,148,100,24,65,4166.0,173,83
1033548,192,30,False,3,147,100,74,64,4114.5,175,82
1033598,192,30,False,8,148,100,32,64,4104.0,175,84
1033608,192,30,False,9,148,100,98,64,4120.5,178,84
1033618,192,30,False,10,148,100,154,64,4134.5,179,85
1033628,192,30,False,11,148,100,194,64,4144.5,181,85
1033638,192,30,False,12,148,100,186,64,4142.5,182,85
1033648,192,30,False,13,148,100,168,64,4138.0,183,84
1033657,192,30,False,14,148,100,176,64,4140.0,184,85
1033668,192,30,False,15,148,100,106,64,4122.5,185,85
1033678,192,30,False,0,148,100,84,64,4117.0,184,85
1033688,192,30,False,1,148,100,92,64,4119.0,187,85
1033697,192,30,False,2,149,100,92,64,4119.0,187,87
1033718,192,30,False,4,149,100,162,64,4136.5,192,88
1033728,192,30,False,5,149,100,154,64,4134.5,196,88
1033738,192,30,False,6,149,100,160,64,4136.0,195,88
1033748,192,30,False,7,149,100,188,64,4143.0,199,88
1033758,192,30,False,8,149,100,182,64,4141.5,200,89
1033768,192,30,False,9,149,100,200,64,4146.0,202,89
1033778,192,30,False,10,150,100,248,64,4158.0,203,91
1033788,192,30,False,11,150,100,16,65,4164.0,207,91
1033798,192,30,False,12,150,100,248,64,4158.0,207,91
1033808,192,30,False,13,150,100,6,65,4161.5,209,91
1033818,192,30,False,14,150,100,28,65,4167.0,209,93
1033828,192,30,False,15,150,100,16,65,4164.0,213,93
